kabupaten,adm4,provinsi,kota_kabupaten,kecamatan,desa,lat,lon,utc_datetime,local_datetime,analysis_date,suhu_c,kelembapan_pct,curah_hujan_mm,tutupan_awan_pct,kecepatan_angin,arah_angin,jarak_pandang,kondisi_cuaca,kondisi_cuaca_en,icon_cuaca
Lampung Selatan,18.01.04.2001,Lampung,Lampung Selatan,Natar,Hajimena,-5.3522829866,105.2251949247,2026-03-28 00:00:00,2026-03-28 07:00:00,2026-03-27T12:00:00,24,92,0.1,89,4.0,W,> 10 km,Cerah Berawan,Partly Cloudy,
Lampung Selatan,18.01.04.2001,Lampung,Lampung Selatan,Natar,Hajimena,-5.3522829866,105.2251949247,2026-03-28 03:00:00,2026-03-28 10:00:00,2026-03-27T12:00:00,28,77,0.3,91,2.8,NE,> 10 km,Berawan,Mostly Cloudy,
Lampung Selatan,18.01.04.2001,Lampung,Lampung Selatan,Natar,Hajimena,-5.3522829866,105.2251949247,2026-03-28 06:00:00,2026-03-28 13:00:00,2026-03-27T12:00:00,26,85,3.0,100,4.7,SE,> 10 km,Hujan Ringan,Light Rain,
Lampung Selatan,18.01.04.2001,Lampung,Lampung Selatan,Natar,Hajimena,-5.3522829866,105.2251949247,2026-03-28 09:00:00,2026-03-28 16:00:00,2026-03-27T12:00:00,25,93,0.2,100,1.6,N,< 7 km,Berawan,Mostly Cloudy,
Lampung Selatan,18.01.04.2001,Lampung,Lampung Selatan,Natar,Hajimena,-5.3522829866,105.2251949247,2026-03-28 12:00:00,2026-03-28 19:00:00,2026-03-27T12:00:00,24,97,0.3,100,4.4,W,> 10 km,Berawan,Mostly Cloudy,
Lampung Selatan,18.01.04.2001,Lampung,Lampung Selatan,Natar,Hajimena,-5.3522829866,105.2251949247,2026-03-28 15:00:00,2026-03-28 22:00:00,2026-03-27T12:00:00,23,98,2.0,100,1.0,S,> 10 km,Hujan Ringan,Light Rain,
Lampung Selatan,18.01.04.2001,Lampung,Lampung Selatan,Natar,Hajimena,-5.3522829866,105.2251949247,2026-03-28 18:00:00,2026-03-29 01:00:00,2026-03-27T12:00:00,23,98,3.3,100,3.4,SW,> 10 km,Hujan Ringan,Light Rain,
Lampung Selatan,18.01.04.2001,Lampung,Lampung Selatan,Natar,Hajimena,-5.3522829866,105.2251949247,2026-03-28 21:00:00,2026-03-29 04:00:00,2026-03-27T12:00:00,22,99,0.3,100,1.0,SW,< 3 km,Udara Kabur,Mist/Haze,
Lampung Selatan,18.01.04.2001,Lampung,Lampung Selatan,Natar,Hajimena,-5.3522829866,105.2251949247,2026-03-29 00:00:00,2026-03-29 07:00:00,2026-03-27T12:00:00,24,91,0.1,94,2.4,W,< 5 km,Udara Kabur,Mist/Haze,
Lampung Selatan,18.01.04.2001,Lampung,Lampung Selatan,Natar,Hajimena,-5.3522829866,105.2251949247,2026-03-29 03:00:00,2026-03-29 10:00:00,2026-03-27T12:00:00,28,75,0.3,91,7.4,N,> 10 km,Berawan,Mostly Cloudy,
Lampung Selatan,18.01.04.2001,Lampung,Lampung Selatan,Natar,Hajimena,-5.3522829866,105.2251949247,2026-03-29 06:00:00,2026-03-29 13:00:00,2026-03-27T12:00:00,30,71,0.3,100,5.1,N,> 10 km,Berawan,Mostly Cloudy,
Lampung Selatan,18.01.04.2001,Lampung,Lampung Selatan,Natar,Hajimena,-5.3522829866,105.2251949247,2026-03-29 09:00:00,2026-03-29 16:00:00,2026-03-27T12:00:00,26,87,0.8,100,6.9,E,> 10 km,Berawan,Mostly Cloudy,
Lampung Selatan,18.01.04.2001,Lampung,Lampung Selatan,Natar,Hajimena,-5.3522829866,105.2251949247,2026-03-29 12:00:00,2026-03-29 19:00:00,2026-03-27T12:00:00,24,97,0.5,94,2.7,W,> 10 km,Berawan,Mostly Cloudy,
Lampung Selatan,18.01.04.2001,Lampung,Lampung Selatan,Natar,Hajimena,-5.3522829866,105.2251949247,2026-03-29 15:00:00,2026-03-29 22:00:00,2026-03-27T12:00:00,23,96,0.1,89,3.7,SW,> 10 km,Cerah Berawan,Partly Cloudy,
Lampung Selatan,18.01.04.2001,Lampung,Lampung Selatan,Natar,Hajimena,-5.3522829866,105.2251949247,2026-03-29 18:00:00,2026-03-30 01:00:00,2026-03-27T12:00:00,22,99,0.0,98,1.8,W,< 9 km,Berawan,Mostly Cloudy,
Lampung Selatan,18.01.04.2001,Lampung,Lampung Selatan,Natar,Hajimena,-5.3522829866,105.2251949247,2026-03-29 21:00:00,2026-03-30 04:00:00,2026-03-27T12:00:00,22,98,0.0,97,4.2,SW,< 6 km,Berawan,Mostly Cloudy,
Lampung Selatan,18.01.04.2001,Lampung,Lampung Selatan,Natar,Hajimena,-5.3522829866,105.2251949247,2026-03-30 00:00:00,2026-03-30 07:00:00,2026-03-27T12:00:00,25,92,0.2,99,2.9,SE,< 5 km,Udara Kabur,Mist/Haze,
Lampung Selatan,18.01.04.2001,Lampung,Lampung Selatan,Natar,Hajimena,-5.3522829866,105.2251949247,2026-03-30 03:00:00,2026-03-30 10:00:00,2026-03-27T12:00:00,29,73,0.2,99,8.7,NE,> 10 km,Berawan,Mostly Cloudy,
